sequence_id,forward,reverse,score
01d61b1167121e9d8a649daab0d7283e842c8533b11b71c7c090e07fb7c4f336,-255.94911003112796,-259.2417848110199,-257.5954474210739
01e3e351e331660abc1b8a5777efffc182adb8f41578e2dbcb478455c0c487e0,-222.47498634457588,-225.72469419240952,-224.0998402684927
01e4a36859707c8d2bef55f67dfdc0daf664a91292635df6880577c6443c44ff,-253.0732572823763,-251.62224720418453,-252.3477522432804
01e4ce0634d0b23bee2f6a4ea6046f80c5ae01a91cea5809777f7779fc221778,-146.79333197139204,-154.10241040121764,-150.44787118630484
01f2d41c376e99d0af9018778623115cc858060ff9ee1e4ab44537e76e716630,-233.1478140503168,-242.70410269498825,-237.92595837265253
01f4d469d9fccdc71df5a9689537a4482c42dbe8c9d9c7835997432d68e31b46,-251.5736801028252,-248.1008948981762,-249.83728750050068
01f95ad18eb8bd9247833a6bbb3b178821d6c86a50bfead6ef6eaa99eecc1b09,-191.6254061795771,-187.01617072708905,-189.32078845333308
01fdbc4db54f73bd9ec72351a25de7ddd75826719ba7b161019ad3bc0b746b0e,-269.6235229372978,-260.6914809644222,-265.15750195086
020673b78684a051a6506ca9b674205c4c86b963a517f207057d360ddb903fb1,-258.0596793293953,-253.67503598332405,-255.86735765635967
0212cb4410a963650689ae1793a02edb8e1549162f736ceaa06b27a2a18c57af,-176.2356378417462,-210.4298036172986,-193.3327207295224
0220ae646fecdc500b940310181aa51fcfe85951a67f1cdc40bb9b1bab875ddd,-253.4045081436634,-252.78242902457717,-253.09346858412027
02312b6356defddca09400650df6c388d8db3a5e163a85f13be8f3154fe8ac3f,-195.8744476735592,-191.2652997802943,-193.56987372692677
0231801e611e53729a6ef2243d1a1e48e6d5be600c0ac836bc9cf90e7195cd00,-231.26912117004397,-229.13723611831665,-230.2031786441803
02344840963d431d5fe5c12ad3eaeb64fcaa27de64c108937925442900a58fe1,-252.6140084862709,-261.075447678566,-256.84472808241844
023f97c2a285e4cebc926af6c3202bddf5de0d8b6a6f2cac3b3984018a59c0cc,-144.1545021426864,-144.06782246939838,-144.1111623060424
023fd4c94e4fbd6cf5b67c51653ea8eb0d449b5bc386cc5e7bf2e9d7976dbf88,-256.986361682415,-256.861595928669,-256.923978805542
0250a09ba150d36067d3010f19c2e956f5d214bec4151ab27f869458570f1e59,-252.48101377487183,-255.77216458320615,-254.126589179039
0250eb53349b2395321d3adcaa94d5698da8fb68663022cc4eab6158317af0b8,-277.135266661644,-271.2167518138885,-274.17600923776627
025893e4c6d36da060e3a3b61e5f0178c1a380f5882be6db5ec18ed4627d9fa7,-257.8504247665405,-259.027206659317,-258.4388157129288
02634f791a0385640f30d612d000ac45af20314c28484928cb8ac6aaea642938,-267.72134774923325,-268.16408544778824,-267.94271659851074
0266a9e8d7417ffa4ddbb6e0459e1fc3708253ddd256d643c3ef9eaf0bb9c339,-280.4170958995819,-281.7611196041107,-281.0891077518463
026f03c46b71baf035675782c4f8aa99d891745eb8a987bd35a0c0d4c59616d0,-239.85201247408983,-239.12585698068145,-239.48893472738564
0274dce77d4d102397b72634e135ff8d6c736283cfb8c641f494357574dbccc2,-210.8270735926926,-209.4249655008316,-210.1260195467621
02763595c767ed2c398207ac05352234f23b63e45e612ff68368d6c761745637,-275.59568387269974,-282.2158971428871,-278.9057905077934
